"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","@AmberbVIPKID just walked over to me, bent over and gently laid her hand on my forehead, then looked me in the eyes‚Ä¶ https://t.co/f6pqhEQI3k",FALSE,0,"AmberbVIPKID",2018-03-09 01:01:28,TRUE,NA,"971913827469099008","897094974407417856","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thebrianblack",0,FALSE,FALSE,NA,NA
"12","@egg_yolkkkk You caught the cb flu",FALSE,0,"egg_yolkkkk",2018-03-09 01:01:21,FALSE,"971908740663296000","971913799082135553","810507701813772288","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chefdrawfag",0,FALSE,FALSE,NA,NA
"13","@l_lorianna @jackandmissyc1 That is some funny shit!!! Ì†ΩÌ∏ÇÌ†ΩÌ∏ÇÌ†ΩÌ∏Ç  was it the gov brown liberal bullshit flu? Ì†ΩÌ∏Ç (but hones‚Ä¶ https://t.co/N8QQ4E6bah",FALSE,1,"l_lorianna",2018-03-09 01:01:18,TRUE,"971909909066362880","971913786239148033","944270025887662080","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lys_montague1",0,FALSE,FALSE,NA,NA
"14","#SanDiego county had 708 lab-confirmed flu cases last week, up from 542 the previous week, according to the Health‚Ä¶ https://t.co/hzJ8BMfzh7",FALSE,0,NA,2018-03-09 01:01:01,TRUE,NA,"971913715581939713",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","KPBSnews",0,FALSE,FALSE,NA,NA
"15","@CarlPaulsonGolf I had never had it, 54 yrs old, never had flu shot. I got it twice this year, 2 weeks apart, 2 dif‚Ä¶ https://t.co/DWWkVNGmjK",FALSE,0,"CarlPaulsonGolf",2018-03-09 01:00:34,TRUE,"971912574383132672","971913599429070848","1667464992","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Robert_E_Reed",0,FALSE,FALSE,NA,NA
"16","This is the worst flu I had, 2 bottle of flu and cough syrup, doctor prescription drugs, vitamin shot, vitamin C, m‚Ä¶ https://t.co/VpgLUNsbGj",FALSE,0,NA,2018-03-09 01:00:33,TRUE,NA,"971913597969342464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","c_puri",0,FALSE,FALSE,NA,NA
"17","Flu prevention/treatment (flu shot/Tamiflu) strategy is drastically failing us and our children. Flu now blamed for‚Ä¶ https://t.co/1VDfiBVdnP",FALSE,0,NA,2018-03-09 01:00:30,TRUE,NA,"971913584811786241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_FLEX4U",0,FALSE,FALSE,NA,NA
"18","@Sarcasticluther Grace and Frankie got me through the flu!",FALSE,0,"Sarcasticluther",2018-03-09 01:00:18,FALSE,"971868282616668160","971913535323365377","14544819","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SeeBeeSea",0,FALSE,FALSE,NA,NA
"19","You don‚Äôt  saaayyy *acts surprised* Ask me when‚Äôs the last time I got a flu shot. https://t.co/rBMlbc4GJs",FALSE,0,NA,2018-03-09 01:00:14,FALSE,NA,"971913518634160128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hidingmytweets",0,FALSE,FALSE,NA,NA
"20","I‚Äôve literally been so sick with strep three times and the flu once in the past 6 weeks, ended up in the hospital t‚Ä¶ https://t.co/371GxBUdpQ",FALSE,0,NA,2018-03-09 01:00:11,TRUE,NA,"971913503060709376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lenae_raymond",0,FALSE,FALSE,NA,NA
"21","The latest Health-Care Reform Daily! https://t.co/Ujf0gYgsie #flu",FALSE,0,NA,2018-03-09 00:59:59,FALSE,NA,"971913454218043392",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","DrAshrafHilmy",0,FALSE,FALSE,NA,NA
"22","The flu followed by Lent followed by food poisoning has me thinking I'll put on my swim trunks and stage some ""summ‚Ä¶ https://t.co/3oOZfJ12sZ",FALSE,3,NA,2018-03-09 00:59:47,TRUE,NA,"971913403257315328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tonywoodlief",0,FALSE,FALSE,NA,NA
"23","Wisconsin woman forced to get flu shot or be fired, DOJ lawsuit claims https://t.co/ZwIeQhrrOl",FALSE,0,NA,2018-03-09 00:59:39,FALSE,NA,"971913371326001154",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","pilatesnewswire",0,FALSE,FALSE,NA,NA
"24","This is absolutely frightening https://t.co/E5P18E9h0v",FALSE,0,NA,2018-03-09 00:59:36,FALSE,NA,"971913359921700864",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Xtine_Scott0504",0,FALSE,FALSE,NA,NA
"25","@WilliamHiller6 @waltshaub I‚Äôm not an anti vaxxer, but it‚Äôs worth researching what the CDC and NIH have written abo‚Ä¶ https://t.co/jc9rEPAWhf",FALSE,0,"WilliamHiller6",2018-03-09 00:59:28,TRUE,"971905646269362176","971913326388269057","895465527765721089","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slfresqngprncss",0,FALSE,FALSE,NA,NA
"26","I hate being sore from lifting feels like I have the flu...
#winecity",FALSE,0,NA,2018-03-09 00:59:25,FALSE,NA,"971913311750115328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","becky_witmer",0,FALSE,FALSE,NA,NA
"27","1000 block of 12th street for a subject with flu like symptoms the last few days &amp; is not responding appropriately now.",FALSE,0,NA,2018-03-09 00:58:54,FALSE,NA,"971913182410403842",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","PAT_riot_ACT",0,FALSE,FALSE,NA,NA
"28","i rlly need cold and flu medicine",FALSE,0,NA,2018-03-09 00:58:41,FALSE,NA,"971913127808851968",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Astreaoce",0,FALSE,FALSE,NA,NA
"29","Having the #flu #stinks",FALSE,1,NA,2018-03-09 00:58:28,FALSE,NA,"971913070879666176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrianFaulkner44",0,FALSE,FALSE,NA,NA
"30","Want to change my social security #because it has 666 in it and thought I could use my religious beliefs as reason‚Ä¶ https://t.co/8MZVAuD4Gl",FALSE,0,NA,2018-03-09 00:58:12,TRUE,NA,"971913007851851776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lihartke",0,FALSE,FALSE,NA,NA
"31","#NowPlaying Andhim &amp; Super Flu - Reeves",FALSE,0,NA,2018-03-09 00:58:02,FALSE,NA,"971912962284949504",NA,"<a href=""https://www.radioking.fr"" rel=""nofollow"">Radio King LiveTweet</a>","ingroovewetrust",0,FALSE,FALSE,NA,NA
"32","Can a sinus/ear infection turn into severe exhaustion? My body feels like the flu but without any of the drip... oh‚Ä¶ https://t.co/wBXtSe87mz",FALSE,0,NA,2018-03-09 00:57:49,TRUE,NA,"971912909407342593",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BKLYNBasement",0,FALSE,FALSE,NA,NA
"33","Federal religious discrimination lawsuit alleges woman was forced to get flu shot or be fired https://t.co/JaShhVdTmH",FALSE,0,NA,2018-03-09 00:57:27,FALSE,NA,"971912816226701312",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","hunchiro",0,FALSE,FALSE,NA,NA
"34","Commentary: Pharmacists testing for, treating &lt;b&gt;flu&lt;/b&gt; could save lives: There is‚Ä¶ https://t.co/nQZWR4tC5i",FALSE,0,NA,2018-03-09 00:57:23,FALSE,NA,"971912802087653376",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Pandemia_Info",0,FALSE,FALSE,NA,NA
"35","Aunt: Eric why didn‚Äôt you get your flu shot? 
Eric: Mom im not a bitch",FALSE,1,NA,2018-03-09 00:57:20,FALSE,NA,"971912787902521344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","corderoybear",0,FALSE,FALSE,NA,NA
"36","Rising UK, US flu death toll revives killer pandemic fears - https://t.co/jE7hFs2Cb7 https://t.co/zQxDC8RDno",FALSE,0,NA,2018-03-09 00:57:04,FALSE,NA,"971912720986537985",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ProdromalStage",0,FALSE,FALSE,NA,NA
"37","@dongtama Hope he didn't catch a flu in the cold Ì†ΩÌ∏äÌ†ΩÌ∏ÑÌ†ºÌΩºÌ†ΩÌ∞ØÌ†ΩÌ≤ï",FALSE,0,"dongtama",2018-03-09 00:56:57,FALSE,"971887219878146049","971912692117118976","590042911","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eiicharu",0,FALSE,FALSE,NA,NA
"38","thats why im posted up i have the flu",FALSE,0,NA,2018-03-09 00:56:36,FALSE,NA,"971912604527415297",NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","ReneRaider777",0,FALSE,FALSE,NA,NA
"39","Not to mention having 4 guys out with the flu...awesome job, and perfect example of a TEAM win!",FALSE,0,"piratepride2",2018-03-09 00:56:25,FALSE,"971912398054543362","971912555798163461","222226975","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","piratepride2",0,FALSE,FALSE,NA,NA
"40","And . . . It may help protect you from the flu https://t.co/nbX1QHpUpS",FALSE,0,NA,2018-03-09 00:56:24,FALSE,NA,"971912552325230592",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","AndreaB_01",0,FALSE,FALSE,NA,NA
"41","Me when my nephew w the flu asked to play my PS4
https://t.co/canmveBKw3",FALSE,0,NA,2018-03-09 00:56:09,FALSE,NA,"971912487871438848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ImEricCortes",0,FALSE,FALSE,NA,NA
"42","i would call me im sick with flu i dont want to get u sick thats the last thing u need",FALSE,0,NA,2018-03-09 00:55:56,FALSE,NA,"971912434632945664",NA,"<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","ReneRaider777",0,FALSE,FALSE,NA,NA
"43","I'm seriously watching this #TOTP Genesis spesh for the Twitter banter (and because I have the 'flu and can't settle)",FALSE,1,NA,2018-03-09 00:55:40,FALSE,NA,"971912366161104896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Paliakythro_ann",0,FALSE,FALSE,NA,NA
"44","I've actually feel really lazy this afternoon still not 100 % from the flu and all I did all day was listen to ""... https://t.co/KDxl8lgUq7",FALSE,0,NA,2018-03-09 00:55:33,FALSE,NA,"971912338935877632",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Andyfrekingford",0,FALSE,FALSE,NA,NA
"45","when u get the flu and lose 10 pounds https://t.co/eF7yYDmRnU",FALSE,0,NA,2018-03-09 00:55:09,FALSE,NA,"971912236271796224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","skank182",0,FALSE,FALSE,NA,NA
"46","PISCES GANG Ì†æÌ¥üÌ†ºÌøª https://t.co/wsvsOpZv7D",FALSE,0,NA,2018-03-09 00:55:02,FALSE,NA,"971912208551686144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slime_Flu_",0,FALSE,FALSE,NA,NA
"47","Deadly strain of mutated bird flu 'could kill 300 million people': You are not allowed to‚Ä¶ https://t.co/p7tUOOJ4gS",FALSE,0,NA,2018-03-09 00:54:46,FALSE,NA,"971912140419485696",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Promo2day",0,FALSE,FALSE,NA,NA
"48","Doctor Blows Whistle on Flu Shot: 'It‚Äôs Designed to Spread Cancer' https://t.co/jxaN7yAFLt",FALSE,0,NA,2018-03-09 00:54:44,FALSE,NA,"971912134861967362",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","DonHerdman1960",0,FALSE,FALSE,NA,NA
"49","Greys Anatomy getting rid of Arizona and April after this season is the biggest bullshit I‚Äôve heard since this morn‚Ä¶ https://t.co/rGeM4mDuiA",FALSE,0,NA,2018-03-09 00:54:42,TRUE,NA,"971912125064065024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","j_crawfordxoxo",0,FALSE,FALSE,NA,NA
"50","@_ivyclaire Jams and I both got affect by the nova virus, it‚Äôs like the flu but only lasts 24 hours",FALSE,0,"_ivyclaire",2018-03-09 00:54:42,FALSE,"971870680013856768","971912123789045760","42315279","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","denmeow",0,FALSE,FALSE,NA,NA
"51","So who‚Äôs daughter coming with me to the movies Friday ?",FALSE,1,NA,2018-03-09 00:54:33,FALSE,NA,"971912088389062656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","slime_Flu_",0,FALSE,FALSE,NA,NA
"52","@ClaraKhaled Do Flu?",FALSE,0,"ClaraKhaled",2018-03-09 00:54:24,FALSE,"971911543343472640","971912051474993152","230874773","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hugo_toledo",0,FALSE,FALSE,NA,NA
"53","@JessicaJoyful79 Take care. Don‚Äôt delay visit to doc. Between flu and respiratory thing this winter, a doc visit so‚Ä¶ https://t.co/MuLcpFnngd",FALSE,0,"JessicaJoyful79",2018-03-09 00:53:21,TRUE,"971869960573276161","971911786906648577","710943176","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DianaGallaher",0,FALSE,FALSE,NA,NA
"54","@SnowbunnyShelly When I went in to the doctors my doc said that there were a ton of people in with sinus infections‚Ä¶ https://t.co/acIO2sGwOJ",FALSE,0,"SnowbunnyShelly",2018-03-09 00:53:11,TRUE,"971866835942457344","971911743050936320","1918874586","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CosmicTheLynx",0,FALSE,FALSE,NA,NA
"55","@brucekirkland__ Damn mane. Better get some meds in ya, flu deadly",FALSE,0,"brucekirkland__",2018-03-09 00:53:10,FALSE,"971911427807174656","971911738072403968","2365891706","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","1youngpharaoh",0,FALSE,FALSE,NA,NA
"56","Flu Activity Slowing Down, Says CDC https://t.co/obfsPMyXgi via @YouTube",FALSE,0,NA,2018-03-09 00:53:02,FALSE,NA,"971911706195607552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shohelrana2628",0,FALSE,FALSE,NA,NA
"57","Aaaand I've bingewatched the entire series. Really want my flu symptoms to go away now...

#JessicaJonesSeason2",FALSE,0,NA,2018-03-09 00:52:55,FALSE,NA,"971911676869169153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GallifreyanAv",0,FALSE,FALSE,NA,NA
"58","There have been 276 flu deaths in North Carolina",FALSE,0,NA,2018-03-09 00:52:22,FALSE,NA,"971911538226401282",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","eleventaughtme",0,FALSE,FALSE,NA,NA
"59","Latest update The latest Public Health England (PHE) report published at 2pm today, Thursday 8 March 2018, shows th‚Ä¶ https://t.co/x7p2L4eoq9",FALSE,0,NA,2018-03-09 00:52:21,TRUE,NA,"971911533826633730",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","WOTLuk",0,FALSE,FALSE,NA,NA
"60","i‚Äôve had the flu all week so like it cause i need something to do https://t.co/vufct0SaJe",FALSE,11,NA,2018-03-09 00:51:56,FALSE,NA,"971911429556178944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hartmannn14",0,FALSE,FALSE,NA,NA
"61","It's been a rough few days around here with Oliver and I getting the flu but we are on the‚Ä¶ https://t.co/UdgqN9uQWd",FALSE,0,NA,2018-03-09 00:51:32,FALSE,NA,"971911328607719424",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","MInutritionist",0,FALSE,FALSE,NA,NA
"62","Department of Justice Sues County in Wisconsin Over Nurse Being Forced to Receive Flu Shot Against Her Religious Be‚Ä¶ https://t.co/bnnvZNNlnf",FALSE,1,NA,2018-03-09 00:51:02,TRUE,NA,"971911203952971776",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BeyerBliss",0,FALSE,FALSE,NA,NA
"63","Ende when I get to the clinic tomorrow I'm going to tell the nurse that ke tshwere ke listeriosis I ain't going to say it's flu.",FALSE,0,NA,2018-03-09 00:50:42,FALSE,NA,"971911117944623104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tshepo_Lefine",0,FALSE,FALSE,NA,NA
"64","Wisconsin woman forced to get flu shot or be fired, DOJ lawsuit claims https://t.co/HYKWguDv8N #FoxNews",FALSE,0,NA,2018-03-09 00:50:20,FALSE,NA,"971911024566788096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Mother_Warrior",0,FALSE,FALSE,NA,NA
"65","Our Spring Blood Drive will be Sunday, March 25. The current flu season has drastically decreased the number of blo‚Ä¶ https://t.co/sUyjbbuENS",FALSE,0,NA,2018-03-09 00:50:05,TRUE,NA,"971910964395245568",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","parkwayheights",0,FALSE,FALSE,NA,NA
"66","Did you know that regular exercise triggers the production of immune cells that fight off cold and flu germs? And t‚Ä¶ https://t.co/FWX7XAG3wR",FALSE,0,NA,2018-03-09 00:50:05,TRUE,NA,"971910962994470912",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","AISINC2",0,FALSE,FALSE,NA,NA
"67","A flu shot can protect both - pregnant mother &amp; infant #pregnancy #health #vc #funding https://t.co/gSNSuYEfnc https://t.co/nTPDJIxMWl",FALSE,0,NA,2018-03-09 00:50:05,FALSE,NA,"971910962394513409",NA,"<a href=""http://dropial.com/"" rel=""nofollow"">Dropial Service App</a>","arzillion",0,FALSE,FALSE,NA,NA
"68","'I thought I had the flu': Jim Gaffigan's wife describes the scarily easy-to https://t.co/qfry27EsR1",FALSE,0,NA,2018-03-09 00:50:03,FALSE,NA,"971910956765863936",NA,"<a href=""http://news.quiboat.com"" rel=""nofollow"">Quiboat News</a>","GaffiganFans",0,FALSE,FALSE,NA,NA
"69","@JenniferAWagner Not the flu??",FALSE,0,"JenniferAWagner",2018-03-09 00:49:48,FALSE,"971707786433323009","971910891745808384","210674015","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","poyitt",0,FALSE,FALSE,NA,NA
"70","If everyone could pray I dont have the flu and wake up feeling like a million bucks i would really appreciate it thanks in advance xoxox",FALSE,1,NA,2018-03-09 00:49:44,FALSE,NA,"971910876558188545",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","conlee_hamlin",0,FALSE,FALSE,NA,NA
"71","I thought flu vaccines worked and were important...uhhh https://t.co/jCIM78iMRB",FALSE,0,NA,2018-03-09 00:49:39,FALSE,NA,"971910852814176257",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DadCore_XL",0,FALSE,FALSE,NA,NA
"72","The flu is waiting for y‚Äôall in Richmond @ Springbreakers",FALSE,1,NA,2018-03-09 00:49:30,FALSE,NA,"971910817284345861",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kwesikwes",0,FALSE,FALSE,NA,NA
"73","@mimentz Flu will not go down because of Abel. S√£o Paulo might go down. Because of Dorival, the team has enough tal‚Ä¶ https://t.co/jCPVHLAK4V",FALSE,0,"mimentz",2018-03-09 00:49:20,TRUE,"971910207449321474","971910773344755712","469456297","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Joao77Cunha",0,FALSE,FALSE,NA,NA
"74","@im_devdevv @AmyNicoleSabas Build immunity to wook flu",FALSE,2,"im_devdevv",2018-03-09 00:48:52,FALSE,"971910279071223808","971910655983931392","3301065142","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","__TK_____",0,FALSE,FALSE,NA,NA
"75","Me and Nic. Cuddling with him, hubs, and Mab as I try to recover from the flu. https://t.co/n3ta2bhetv",FALSE,0,NA,2018-03-09 00:48:21,FALSE,NA,"971910526786826240",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","kaitbarnes",0,FALSE,FALSE,NA,NA
"76","good fridays make for a day of the bolivian flu on saturday... je ne sais quoi",FALSE,0,NA,2018-03-09 00:48:11,FALSE,NA,"971910485179121665",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","matt_urry",0,FALSE,FALSE,NA,NA
"77","@waltshaub Please see a doc. This flu is brutal. Better safe than sorry. Take care and get well.",FALSE,0,"waltshaub",2018-03-09 00:47:49,FALSE,"971842231509442561","971910393303109632","830908366377611266","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","suzykq5",0,FALSE,FALSE,NA,NA
"78","Wisconsin woman forced to get flu shot or be fired, DOJ lawsuit claims https://t.co/50XZPhsI50 https://t.co/X3XGKlgLu4",FALSE,0,NA,2018-03-09 00:47:46,FALSE,NA,"971910378513948672",NA,"<a href=""http://www.allcitynewsonline.com"" rel=""nofollow"">All City News Online</a>","allcitynewson",0,FALSE,FALSE,NA,NA
"79","I wish I could come out tonight, but this flu is whooping my ass, so I‚Äôm there w/my wallet! And huge shout out to a‚Ä¶ https://t.co/3ntZKDy1ft",FALSE,0,NA,2018-03-09 00:47:06,TRUE,NA,"971910211605803008",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","CyKosisMusic",0,FALSE,FALSE,NA,NA
"80","Pretty sure I‚Äôm getting the flu &amp; it just does NOT accommodate my schedule what so ever!",FALSE,1,NA,2018-03-09 00:47:04,FALSE,NA,"971910201908572161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kaitlynn_DeSha2",0,FALSE,FALSE,NA,NA
"81","@sintillaGAMES Can confirm. Bob washed his chicken before preparing him for bed. Poor thing caught the bird flu :(",FALSE,0,"sintillaGAMES",2018-03-09 00:46:59,FALSE,"971565338130186240","971910182098821121","2917301712","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bobdole821",0,FALSE,FALSE,NA,NA
"82","I got flu outta nowhere yesterday and I googled Listeria symptoms I'm fucking scared rn. Fuck tomorrow I'm going to the clinic.",FALSE,0,NA,2018-03-09 00:46:57,FALSE,NA,"971910172565229568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tshepo_Lefine",0,FALSE,FALSE,NA,NA
"83","scientifically proven fact: @coldplay can help in curing symptoms of a flu",FALSE,0,NA,2018-03-09 00:46:38,FALSE,NA,"971910096979681280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zaii03",0,FALSE,FALSE,NA,NA
"84","@lys_montague1 @jackandmissyc1 How are you?!?  I‚Äôve been down all week with that nasty cold/flu/ crap",FALSE,1,"lys_montague1",2018-03-09 00:46:34,FALSE,"971908416645058560","971910079636152320","917538480196112393","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","l_lorianna",0,FALSE,FALSE,NA,NA
