"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"181","Flu activity is finally decreasing. Dr. Rosie Lyles reminds us why properly disinfecting surfaces is still key to d… https://t.co/27qg7IhEDH",FALSE,2,NA,2018-03-07 20:02:47,TRUE,NA,"971476275943665666",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Medline",1,FALSE,FALSE,NA,NA
"182","It's cold and flu season. Make sure you're getting enough sleep and drinking water.",FALSE,6,NA,2018-03-07 20:02:23,FALSE,NA,"971476175011840000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","QueenAwakened",2,FALSE,FALSE,NA,NA
"183","#Flu activity has been intense this season. Here are 6 things you need to know about this flu season.… https://t.co/jGup9SBSFj",FALSE,0,NA,2018-03-07 20:02:17,TRUE,NA,"971476147082027008",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","ACHI_Net",0,FALSE,FALSE,NA,NA
"184","Chairwoman Gaspar delivers State of County Address, #flu activity slowing, initiative to better protect #seniors fr… https://t.co/2wyWRac83R",FALSE,0,NA,2018-03-07 20:02:01,TRUE,NA,"971476081512452097",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","PeterACallstrom",0,FALSE,FALSE,NA,NA
"185","I want you in my chest like the swine flu..",FALSE,0,NA,2018-03-07 20:01:51,FALSE,NA,"971476038185349122",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StreetRunnersCo",0,FALSE,FALSE,NA,NA
"186","I'm about to fail these finals tomorrow because this flu had me dying for the past week https://t.co/AIdPI5oBvf",FALSE,0,NA,2018-03-07 20:01:49,FALSE,NA,"971476031986126849",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jieunsnamyu",0,FALSE,FALSE,NA,NA
"187","Flu season can last through early spring. Check out these helpful resources to make sure you're prepared in case of… https://t.co/nOVSurZvj7",FALSE,0,NA,2018-03-07 20:01:44,TRUE,NA,"971476011513761793",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","NLM_SIS",0,FALSE,FALSE,NA,NA
"188","Elderly New Yorkers Refusing Flu Shots - Vaxxter https://t.co/DiwtUKyWQM",FALSE,0,NA,2018-03-07 20:01:42,FALSE,NA,"971476001480994821",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SNCCLA",1,FALSE,FALSE,NA,NA
"189","wow of Course it’s the flu,, just what my life needed right now!!!!!!!!!!!!!!",FALSE,0,NA,2018-03-07 20:01:39,FALSE,NA,"971475987564146688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sofiaomegle",0,FALSE,FALSE,NA,NA
"190","Teladoc’s U.S. board-certified doctors can diagnose and treat many of your medical conditions, including: flu sympt… https://t.co/LpcurnHbcd",FALSE,0,NA,2018-03-07 20:01:37,TRUE,NA,"971475979196616704",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","fallontips",0,FALSE,FALSE,NA,NA
"191","I’m all good man. Flu is gone. Thanks for the check up https://t.co/dp89zH5ANz",FALSE,1,NA,2018-03-07 20:01:36,FALSE,NA,"971475977317617670",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FkLegodi",1,FALSE,FALSE,NA,NA
"192","This flu season is breaking records – up to 34 million people may end up suffering from the illness this season. Fl… https://t.co/a8Z9LxGxGf",FALSE,0,NA,2018-03-07 20:01:22,TRUE,NA,"971475917993381888",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","PMGClarksville",0,FALSE,FALSE,NA,NA
"193","This cold/flu gradeaux it’s almost 2 weeks",FALSE,0,NA,2018-03-07 20:01:18,FALSE,NA,"971475900670726145",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","DrAriafya",0,FALSE,FALSE,NA,NA
"194","During this flu-ridden season, increasing your child's #fitness level is very effective way to strengthen their imm… https://t.co/G4wsr8FluE",FALSE,0,NA,2018-03-07 20:01:18,TRUE,NA,"971475900134035456",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ExudeFitness",0,FALSE,FALSE,NA,NA
"195","@OnondagaHisAssn I never should have done that interview on the 1918 flu pandemic.",FALSE,0,"OnondagaHisAssn",2018-03-07 20:01:17,FALSE,"971398802287595520","971475896409477121","216792258","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BobSearing81",0,FALSE,FALSE,NA,NA
"196","MORE Cold &amp; Flu Remedies | Holistic Health &amp; Living #herbs #coldandflu https://t.co/SOUJET2Xl2",FALSE,0,NA,2018-03-07 20:01:15,FALSE,NA,"971475886217355264",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","apothecary21c",0,FALSE,FALSE,NA,NA
"197","So I’m full of some sort of flu and more emotional than usual, but I was just describing to @GunslingerBen how awes… https://t.co/HlW09xkFep",FALSE,0,NA,2018-03-07 20:01:11,TRUE,NA,"971475870996205569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GFlynnstone",0,FALSE,FALSE,NA,NA
"198","Well said @patrickmhook @BBCPanorama puts the seriousness and business critical nature of access to labour into con… https://t.co/0S2Kl020iQ",FALSE,3,NA,2018-03-07 20:01:10,TRUE,NA,"971475865975615489",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GaryFord01",1,FALSE,FALSE,NA,NA
"199","#Kenya: #SwineFlu confirmed in Nanyuki; one dead - KBC https://t.co/muEQ3ipPkZ",FALSE,0,NA,2018-03-07 20:01:02,FALSE,NA,"971475835478822917",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","healthmap",1,FALSE,FALSE,NA,NA
"200","Update: looks like the child has influenza fml",FALSE,0,"corrieamaral",2018-03-07 20:01:02,FALSE,"971466375528140801","971475834862219264","590531122","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","corrieamaral",0,FALSE,FALSE,NA,NA
